task_id,target,task_weight,planned_task_duration_days,is_planned,is_cross_department,major_activity_weight,pct_of_planned_duration_elapsed,days_remaining_at_prediction,started_late,num_subtasks_as_of_prediction,subtask_completion_pct_as_of_prediction,has_subtasks_at_prediction,num_revisions_before_prediction,position_historical_overdue_rate,position_has_history,employee_active_workload_at_prediction,department_historical_overdue_rate,department_recent_overdue_rate_30d,department_has_history
061bd493-43ac-489b-948d-9729e049cfa8,f,0.00,4,t,f,50.00,0.25000000000000000000,3,t,0,,f,1,0.123,t,70,0.182,0.217,t
062140e4-8fdc-42d3-ae7d-a39d3749e653,t,0.00,3,t,f,20.00,0.33333333333333333333,2,t,0,,f,2,0.234,t,160,0.220,0.518,t
0627cd29-ed5c-4f35-8bf8-6a6650f75c0e,t,0.00,0,f,f,40.00,1.0,-1,t,0,,f,0,0.221,t,202,0.251,0.324,t
062871a7-4e54-4871-8322-4aac506071ab,f,0.00,4,t,f,34.00,0.25000000000000000000,3,t,0,,f,1,0.087,t,340,0.129,0.106,t
06350b53-3e11-44d5-80fc-a4dc2aac8464,f,0.00,4,f,f,5.00,0.25000000000000000000,3,t,0,,f,0,0.200,t,26,0.180,0.058,t
06456da1-23f7-403f-840a-912af52fb5be,f,0.00,4,f,f,20.00,0.25000000000000000000,3,t,0,,f,0,0.013,t,72,0.210,0.157,t
06526019-2c2e-476c-86ec-b1ad9a3df442,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.486,t,10,0.486,0.357,t
06544e9f-855e-41ce-a853-afeaaa1eb48d,f,0.00,6,f,f,33.00,0.16666666666666666667,5,t,0,,f,2,0.263,t,14,0.263,0.359,t
0654a431-7dbc-433b-aec1-a12e58b8d1b1,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.099,t,161,0.119,0.061,t
066d90f8-3e3b-46b8-beee-67aa367a7945,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.430,t,174,0.389,0.638,t
0670022a-1890-4084-8166-359a3101e07a,f,0.00,4,t,f,100.00,0.25000000000000000000,3,t,0,,f,1,0.231,t,160,0.221,0.618,t
06836dc3-9a0e-477e-9a11-db375025a0bb,f,0.00,4,f,f,10.00,0.25000000000000000000,3,t,0,,f,0,0.118,t,332,0.194,0.452,t
0687c196-9a2c-4577-b351-63c2dc8aa241,t,0.00,4,t,f,25.00,0.25000000000000000000,3,f,0,,f,4,0.391,t,11,0.196,0.448,t
069a23e5-0505-49ca-8e89-513c0b139be9,t,0.00,4,f,f,10.00,0.25000000000000000000,3,t,0,,f,0,0.167,t,44,0.178,0.221,t
069a9b2d-a56e-4e6d-8021-73569ac3d125,t,0.00,5,f,f,33.00,0.20000000000000000000,4,t,0,,f,0,0.157,t,126,0.219,0.056,t
069f806f-135e-45a4-b898-4c8d6cca7c4e,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.149,t,88,0.119,0.023,t
06b18632-0f1b-445d-b9d6-7e3a1576390b,t,0.00,4,f,f,100.00,0.25000000000000000000,3,t,0,,f,0,0.103,t,58,0.187,0.363,t
06c1c13c-ed22-4ce1-bfcb-f3f7df7861f6,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.149,t,88,0.119,0.023,t
06cb4ef6-39bb-48c6-a1f0-0d5b40ad47d3,t,0.00,4,t,f,10.00,0.25000000000000000000,3,t,0,,f,1,0.163,t,10,0.163,0.125,t
06cdc3d3-4bd6-43aa-aeeb-dc6697f64190,f,0.00,4,t,f,10.00,0.25000000000000000000,3,t,0,,f,3,0.126,t,95,0.168,0.333,t
06efd8e7-79be-4b7b-861c-40d40d954119,f,0.00,3,f,f,33.00,0.33333333333333333333,2,t,0,,f,0,0.119,t,240,0.128,0.215,t
0712f7a9-ec97-43fc-b3d5-a1029b736319,f,0.00,4,f,f,50.00,0.25000000000000000000,3,t,0,,f,0,0.176,t,3,0.176,0.000,t
07162bde-ffa6-477c-9024-fc7e340c3b52,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.133,t,160,0.134,0.315,t
0723f80d-b435-4b1f-be75-33f1a65a1a5e,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,3,0.162,t,7,0.162,0.200,t
0723f857-56c1-4a3b-bf12-0eb9763393cc,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.210,t,85,0.142,0.244,t
0728cd1a-3352-4577-8d21-4bb3102dca4d,t,0.00,3,f,f,34.00,0.33333333333333333333,2,t,0,,f,0,0.473,t,18,0.298,0.116,t
07371d9a-8cc0-4d35-bdc2-b3951da24d6a,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.141,t,168,0.137,0.198,t
